profile,size,repeat,order_position,seed,add_total_ms,add_per_record_ms,query_total_ms,query_per_record_ms,verify_total_ms,encrypt_per_record_ms,decrypt_per_record_ms,database_size_bytes
sqlite_aes,10000,11,1,2026,6204.6395,0.62046395,229.5413,0.02295413,84.9641,0.051938500000000144,0.00977950000000003,4886528.0
sqlite_aes_chain,10000,11,2,2026,80201.6908,8.02016908,566.7803,0.056678030000000004,1343.9308,nan,nan,13840384.0
sqlite,10000,11,3,2026,5403.949,0.5403949,90.8406,0.00908406,1.7696,0.0,0.0,3874816.0
sqlite,10000,12,1,2026,5892.924,0.5892924,88.9941,0.00889941,1.6395,0.0,0.0,3874816.0
sqlite_aes_chain,10000,12,2,2026,75316.4074,7.531640739999999,691.7345,0.06917345,1325.8515,nan,nan,13836288.0
sqlite_aes,10000,12,3,2026,6030.8696,0.60308696,214.632,0.0214632,82.7747,0.0513601100000001,0.008110739999999998,4874240.0
sqlite,10000,13,1,2026,5193.9436,0.5193943599999999,87.5141,0.00875141,1.6457,0.0,0.0,3874816.0
sqlite_aes_chain,10000,13,2,2026,75670.405,7.5670405,711.9989,0.07119989,1522.5628,nan,nan,13840384.0
sqlite_aes,10000,13,3,2026,6691.4555,0.66914555,270.756,0.0270756,95.6206,0.056391320000000064,0.011548379999999893,4874240.0
sqlite_aes,10000,14,1,2026,6715.8625,0.67158625,245.0858,0.024508580000000002,94.9003,0.05786958999999983,0.009440949999999807,4882432.0
